,Overall_Rank,State,Total_Score,Education_Score,Health_Score,Safety_Score,Economy_Score,Infra_Pollution_Score,Vote_2020,Legislature,Governor,Control,Revenue1,General_revenue1,Intergovernmental_revenue1,From_Federal_Government,From_State_government1,From_local_governments1,General_revenue_from_own_sources,Taxes,Property,Sales_and_gross_receipts,General_sales,Selective_sales,Motor_fuel,Alcoholic_beverage,Tobacco_products,Public_utilities,Other_selective_sales,Individual_income,Corporate_income,Motor_vehicle_license,Other_taxes,Charges_and_miscellaneous_general_revenue,Intergovernmental_expenditure1,Direct_expenditure,Current_operations,Capital_outlay,Construction,Other_capital_outlay,Assistance_and_subsidies,Interest_on_debt,Insurance_benefits_and_repayments,Exhibit:_Salaries_and_wages,Education_Expenditures,Higher_education,Elementary_&_secondary,Other_education,Libraries,Public_Welfare_Expenditures,Cash_assistance_payments,Vendor_payments,Other_public_welfare,Hospital_Expenditures,Health_Expenditures,Employment_security_administration,Veterans'_services,Highway_Expenditures,Air_transportation_(airports),Parking_facilities,Sea_and_inland_port_facilities,Police_Expenditures,Fire_protection,Corrections_Expenditures,Capital_outlay,Protective_inspection_and_regulation,Natural_Resources_Expenditures,Parks_Rec_Expenditures,Housing_and_community_development,Sewerage,Solid_waste_management,Financial_administration,Judicial_and_legal,General_public_buildings,Other_governmental_administration,Interest_on_general_debt,2020_Tax_Burden,POP_2020
10,33,Hawaii,49.39,27,3,26,49,40,D,D,D,D,21256402,19545925,4079834,4079834,0,0,15466091,10860932,2259025,5538148,4014448,1523700,169197,50674,111920,280330,911579,2359093,43679,421874,239113,4605159,402,20156712,14200663,2935952,2087376,848576,149382,411593,2459122,4925671,3718284,1347244,2244467,126573,37632,3070987,32190,2537292,501505,537445,775319,6601,0,773142,746608,5056,126047,543158,271683,234183,1922,77189,160655,297863,373017,518978,343867,377529,339815,148565,229403,372288,13.7%,1451911
11,25,Idaho,54.01,48,28,11,11,21,R,R,R,R,18030300,16043215,4857183,4857183,0,0,11186032,7527782,2089006,2796915,2120600,676315,375532,10938,49464,41836,198545,1913459,245969,209035,273398,3658250,0,16686160,12637053,2050915,1664673,386242,213343,281255,1503594,4634228,4214551,1295262,2618641,300648,65998,3272857,70931,2811974,389952,853145,334346,9618,0,1454205,58791,596,1125,540049,243637,488498,11167,82695,362828,255163,235801,253232,204616,391667,242979,227295,178072,277419,10.2%,1847772
12,22,Illinois,55.43,14,16,25,21,27,D,D,D,D,163635254,136537514,29583637,29583637,0,0,106953877,81819957,29001663,27368097,14868701,12499396,1949448,372631,854716,2538413,6784188,17956356,3491688,1792998,2209156,25133920,15362,165348549,114232534,15175408,11598463,3576946,1566541,7864693,26509374,42221806,41015221,9128497,29915889,1970835,889350,27960235,155935,24038723,3765577,4529534,2213076,40670,11085,8481540,1960801,63925,19386,5678179,2609678,2346385,24766,242148,612710,3113643,2153539,1619551,507751,1888742,1601611,786104,2155815,7405670,12.5%,12785245
13,18,Indiana,56.3,11,29,23,17,16,R,R,R,R,75170061,69604817,19838341,19838341,0,0,49766476,31940021,7776011,12742830,8233561,4509269,1449354,53007,409292,242759,2354857,9590894,759132,426045,645110,17826454,853,69568128,54467138,7536887,6033747,1503140,1496751,2045234,4022118,17143694,20061630,6902412,11827487,1331731,378243,16808636,340847,15157608,1310180,5709480,1038038,80873,12174,3610460,299706,16767,30651,1599637,943941,1140257,12875,136728,505976,634807,904457,1416035,325786,616779,619991,159275,991571,1809156,9.3%,6785644
14,8,Iowa,63.83,15,5,14,9,11,R,R,R,R,45151128,40466231,8977253,8977253,0,0,31488978,17327305,5758846,5654549,3965818,1688732,670179,15505,211564,293861,497622,4076571,620486,719687,497165,14161673,0,40433746,30235558,5297266,4574594,722672,681009,661436,3558477,11280764,11630927,3669160,7377202,584565,156788,7254461,251301,6497271,505889,4528595,397213,47344,1767,3295438,160726,24603,21,915310,285361,475947,3742,115433,548103,463728,279743,836970,349874,456885,386127,176878,264979,624946,11.8%,3188669
15,29,Kansas,51.66,40,11,37,7,24,R,R,D,S,34129626,30829236,6232171,6232171,0,0,24597065,15296075,5027606,5819119,4432110,1387009,453222,139208,125636,158753,510191,3381573,433931,249604,384241,9300990,174,33461540,26325391,3495272,2575581,919691,249958,776204,2614716,10514010,10494510,3365257,6782726,346527,154453,5141226,61430,4172726,907071,3804258,743879,31077,11154,1839311,92798,10779,0,1058743,419835,551566,15809,88489,272808,422504,219179,498566,183176,432743,352399,232853,485316,684502,10.8%,2935880
16,23,Kentucky,54.54,25,30,18,29,14,R,R,D,S,50023462,44609895,16108078,16108078,0,0,28501817,19495610,4090217,7340770,4191324,3149446,690280,159588,382071,416028,1501478,6434162,804391,208823,617247,9006207,0,50421217,36654645,4984316,3785984,1198331,1291211,1385082,6105963,11730223,12988076,3894623,7845212,1248241,319916,13251545,172677,12167101,911767,2930107,762080,106442,56787,2452890,325415,33502,27113,817745,441740,923110,12798,147646,442041,389176,440159,1135982,244087,468082,589789,96015,561318,1260721,10.2%,4503958
17,50,Louisiana,31.8,46,44,48,48,48,R,R,D,S,52699758,47563321,17591564,17591564,0,0,29971757,20511019,4253501,10838064,8041496,2796568,611027,79406,160113,152558,1793464,3916190,450545,79821,972897,9460738,0,53405831,40496584,4149892,3484906,664986,817200,1268563,6673592,12659182,12934246,3832783,8097068,1004395,183673,13600835,27393,12755469,817972,2957118,821387,125955,7645,2181754,331810,14997,325791,1516039,702215,928477,16430,109405,990122,784537,553874,648607,327658,677128,571784,122994,517194,1180872,9.3%,4651203
18,13,Maine,59.36,32,13,1,34,36,D,D,D,D,17243177,15836191,4874691,4874691,0,0,10961500,8745871,3899209,2408665,1666720,741945,242580,17878,137331,29057,315099,1843459,216131,110210,268196,2215630,0,15096532,11894991,1142542,995839,146703,214449,312689,1531861,3661163,3931716,824185,2862721,244810,45851,3913471,57043,2747483,1108944,189308,300627,59238,296,1162366,57544,5950,5853,328062,189354,243893,2027,56759,160812,98479,304194,242881,116246,381992,126099,114473,157175,302084,12.1%,1362280
19,10,Maryland,62.62,3,17,28,5,7,D,D,R,S,78310759,71222866,17286241,17286241,0,0,53936625,42033738,10768036,10383473,4936660,5446813,1076207,24460,362901,562716,3420529,17030628,1325456,471010,2055135,11902887,0,81013527,61754466,6930658,5822014,1108645,1878715,2432874,8016813,22511351,23156401,7081504,15125991,948906,186223,14844077,1490065,11854880,1499132,424227,2983620,45873,2819,3477305,303698,50247,141704,3038980,1389461,2054060,32158,320849,606021,1249759,1840370,1767153,764228,1145554,1074945,413957,693801,2386781,12.6%,6172679
